Child,Parent
artificial intelligence,computer science
subtraction technique,automated pattern recognition
image subtraction,subtraction technique
nonrigid registration,subtraction technique
nonrigid image registration,nonrigid registration
non-rigid registration,subtraction technique
nonrigid image registration,non-rigid registration
manifold learning algorithm,manifold learning
nonlinear dimensionality reduction,manifold learning
laplacian eigenmaps,nonlinear dimensionality reduction
locally linear embedding,manifold learning
low-dimensional manifolds,manifold learning
low-dimensional spaces,manifold learning
isomap,manifold learning
local geometry,manifold learning
data manifolds,manifold learning
nonlinear manifolds,manifold learning
intrinsic dimensions,manifold learning
neighborhood graphs,manifold learning
gait features,gait recognition
gait cycles,gait recognition
silhouette images,gait recognition
manifold learning,dimensionality reduction
dimensionality reduction method,dimensionality reduction
dimensionality reduction techniques,dimensionality reduction
dimensionality reduction algorithms,dimensionality reduction
curse of dimensionality,dimensionality reduction
subspace learning,dimensionality reduction
fisher discriminant analysis,dimensionality reduction
locality preserving projections,dimensionality reduction
locality preserving projection,dimensionality reduction
small sample size problems,dimensionality reduction
small sample size problem,dimensionality reduction
random projections,dimensionality reduction
random projection,dimensionality reduction
within-class scatter matrix,scatter matrix
human actions,action recognition
action sequences,human actions
motion history images,human-action recognition
motion history images,human action recognition
video representations,action recognition
human-action recognition,action recognition
human action recognition,action recognition
human pose estimations,human pose
monocular image,human pose
feed-forward network,extreme learning machine
feed-forward network,extreme learning machine %28elm%29
decision theory,artificial intelligence
decision analysis,decision theory
multi-criteria decision analysis,decision analysis
intelligent decision support systems,decision theory
decision procedure,decision theory
presburger arithmetic,decision procedure
decision procedures,decision theory
presburger arithmetic,decision procedures
binary decision diagram %28bdd%29,decision theory
ordered binary decision diagrams,binary decision diagram %28bdd%29
bdd,binary decision diagram %28bdd%29
binary decision,binary decision diagram %28bdd%29
variable ordering,binary decision diagram %28bdd%29
decision diagram,binary decision diagram %28bdd%29
decision diagrams,binary decision diagram %28bdd%29
binary decision diagrams,decision theory
ordered binary decision diagrams,binary decision diagrams
bdd,binary decision diagrams
binary decision,binary decision diagrams
variable ordering,binary decision diagrams
decision diagram,binary decision diagrams
decision diagrams,binary decision diagrams
binary decision diagram,decision theory
ordered binary decision diagrams,binary decision diagram
bdd,binary decision diagram
binary decision,binary decision diagram
variable ordering,binary decision diagram
decision diagram,binary decision diagram
decision diagrams,binary decision diagram
decision tables,decision theory
incomplete information systems,decision tables
incomplete information system,decision tables
attribute reduction,decision tables
condition attributes,attribute reduction
decision attribute,condition attributes
decision systems,attribute reduction
positive region,attribute reduction
knowledge reduction,attribute reduction
discernibility matrix,attribute reduction
attribute reduction algorithm,discernibility matrix
discernibility,attribute reduction
attribute reduction algorithm,discernibility
rule induction,decision tables
rough set models,decision tables
dominance-based rough set approach,decision tables
dominance relation,decision tables
decision table,decision theory
incomplete information systems,decision table
incomplete information system,decision table
