Child,Parent
Periodontium of right second lower premolar tooth,Periodontium of second lower premolar tooth
Layer of CA2 field,Layer of CA field
Layer of CA3 field,Layer of CA field
Synovial cavity of right T10-T11 vertebral arch joint,Synovial cavity of T10-T11 vertebral arch joint
Outer granular layer of left dentate gyrus,Outer granular layer of dentate gyrus
Layer of CA1 field,Layer of CA field
Layer of CA field,Layer of hippocampus proper
Cranial sinus space,Space of compartment of head
Compact bone of left lamina of first lumbar vertebra,Compact bone of lamina of first lumbar vertebra
Left optic canal space,Optic canal space
Right optic canal space,Optic canal space
Intra-osseous cavity of bone organ,Cavity of bone organ
Extra-osseous cavity of bone organ,Deprecated term
Skin of left lateral chest,Skin of lateral chest
Third lumbrical of foot,Lumbrical of foot
Set of vorticose veins,Set of systemic veins
Nerve to right first lateral lumbar intertransversarius,Nerve to first lateral lumbar intertransversarius
Intermedial supraclavicular nerve,Supraclavicular nerve
Annular protein subunit,Biological macromolecule
Pectoral branch of right thoraco-acromial artery,Pectoral branch of thoraco-acromial artery
Mastoid air cell,Zone of temporal bone
Vasculature of tail of pancreas,Vasculature of region of pancreas
Labium majus branch of right posterior labial nerve,Labium majus branch of posterior labial nerve
Nucleus pulposus of intervertebral disk of cervical vertebra,Nucleus pulposus of intervertebral disk
Articular cartilage of distal epiphysis of fourth metacarpal bone,Articular cartilage of distal epiphysis of metacarpal bone
Vesical fundus part of vaginal artery,Subdivision of vaginal artery
Surface of inferior articular process proper of fourth cervical vertebra,Surface of inferior articular process proper of cervical vertebra
Proximal deep tendon of tibialis posterior,Deep tendon of tibialis posterior
Distal deep tendon of left tibialis posterior,Distal deep tendon of tibialis posterior
Distal deep tendon of tibialis posterior,Deep tendon of tibialis posterior
Distal deep tendon of right tibialis posterior,Distal deep tendon of tibialis posterior
Proximal deep tendon of right tibialis posterior,Proximal deep tendon of tibialis posterior
Muscle fasciculus of left rhomboid minor,Muscle fasciculus of rhomboid minor
Foramina of Scarpa,Alveolar foramina of maxilla
Lateral branch of left portal vein,Subdivision of left hepatic portal vein
Adductor tubercle,Zone of medial condyle proper of femur
Superior border of right twelfth costal cartilage,Superior border of twelfth costal cartilage
Left first thoracic radicular vein,First thoracic radicular vein
Posterior surface of left twelfth costal cartilage,Posterior surface of twelfth costal cartilage
Superior border of left twelfth costal cartilage,Superior border of twelfth costal cartilage
Inferior border of right twelfth costal cartilage,Inferior border of twelfth costal cartilage
Facet of body of sternum for fifth costal cartilage,Facet of body of sternum for costal cartilage
Inferior border of left twelfth costal cartilage,Inferior border of twelfth costal cartilage
Anal intersphincteric groove,Region of internal surface of anal canal viewed anatomically
Surface of distal epiphysis of right metatarsal bone,Surface of distal epiphysis of metatarsal bone
T2 part of external vertebral venous plexus,External vertebral venous plexus of thoracic vertebra
Medial branch of left supra-orbital nerve,Medial branch of supra-orbital nerve
Muscle fasciculus of splenius capitis,Skeletal muscle fasciculus
Set of cords of brachial nerve plexus,Set of segments of nerve
Surface of right articular process of fourth lumbar vertebra,Surface of articular process of fourth lumbar vertebra
Suprascapular nerve component of trunk proper of anterior ramus of left fifth cervical nerve,Suprascapular nerve component of trunk proper of anterior ramus of fifth cervical nerve
Suprascapular nerve component of trunk of fifth cervical nerve,Segment of C5 root of suprascapular nerve
Suprascapular nerve component of trunk of right fifth cervical nerve,Suprascapular nerve component of trunk of fifth cervical nerve
Suprascapular nerve component of trunk of left fifth cervical nerve,Suprascapular nerve component of trunk of fifth cervical nerve
L4 dermatome,Dermatome segment of skin
Right nucleus accumbens,Nucleus accumbens
Right Brodmann area 17,Brodmann area 17
Right Brodmann area 18,Brodmann area 18
Left Brodmann area 17,Brodmann area 17
Hyaline cartilage of left lateral cuneiform bone,Hyaline cartilage of lateral cuneiform bone
Surface of proximal phalanx of index finger,Surface of proximal phalanx of hand
Set of middle thyroid veins,Set of systemic veins
Lateral branch of right superficial fibular nerve,Lateral branch of superficial fibular nerve
Fibrous membrane of articular capsule of metacarpophalangeal joint of left index finger,Fibrous membrane of articular capsule of metacarpophalangeal joint of index finger
Skeletal system of left lower free limb,Skeletal system of lower free limb
Subclavius,Pectoral muscle
Trunk of anterior perforating branch of left anterior cerebral artery,Trunk of anterior perforating branch of anterior cerebral artery
Medial segmental hepatic artery,Subdivision of left lobe branch of left hepatic artery
Zone 14a of anterior interventricular branch of left coronary artery,Zone of anterior interventricular branch of left coronary artery
Left external oblique,External oblique
Surface of right mastoid part of head,Surface of mastoid part of head
Diaphysis of third metacarpal bone,Diaphysis of metacarpal bone
Trunk of left inferior phrenic vein,Trunk of inferior phrenic vein
Trunk of branch of internal laryngeal nerve,Trunk of branch of superior laryngeal nerve
Gray matter of anterior segment of left paracentral lobule,Gray matter of anterior segment of paracentral lobule
Superficial compartment of superficial perineal space,Compartment subdivision
Gray matter of anterior segment of right paracentral lobule,Gray matter of anterior segment of paracentral lobule
Brodmann area 7 of parietal lobe,Segment of Brodmann area 7
Gray matter of anterior segment of paracentral lobule,Gray matter of lobule of cerebral hemisphere
Trunk of third posterior thoracic radicular vein,Trunk of posterior thoracic radicular vein
Trunk of first posterior thoracic radicular vein,Trunk of posterior thoracic radicular vein
Trunk of fourth posterior thoracic radicular vein,Trunk of posterior thoracic radicular vein
Trunk of second posterior thoracic radicular vein,Trunk of posterior thoracic radicular vein
Trunk of eleventh anterior thoracic radicular vein,Trunk of anterior thoracic radicular vein
Articular facet of inferior surface of body of fifth sacral vertebra,Surface of region of sacral vertebra
Organ cluster,Anatomical cluster
Transition zone of prostate,Zone of prostate
Anteromedial surface of diaphysis of left third metacarpal bone,Anteromedial surface of diaphysis of third metacarpal bone
Region of wall of male genital duct,Region of organ component
Epimysium of left semispinalis thoracis,Epimysium of semispinalis thoracis
Trabecular bone of neck of left talus,Trabecular bone of neck of talus
Musculature of anterior compartment of left forearm,Musculature of anterior compartment of forearm
Left orbital plate of ethmoid,Orbital plate of ethmoid
Left parafascicular nucleus,Parafascicular nucleus
Craniospinal sensory ganglion,Sensory ganglion
Interventricular laryngeal space,Subdivision of middle part of laryngeal cavity
Surface of right mamillary process of third lumbar vertebra,Surface of mamillary process of third lumbar vertebra
Superficial fascia of right hand,Superficial fascia of hand
Surface of metaphysis of ulna,Surface of subdivision of diaphysis of ulna
Anterior part of right middle temporal gyrus,Anterior part of middle temporal gyrus
CD198+ T lymphocyte,T lymphocyte
Skin of right arm,Skin of arm
Surface of region of ureter,Surface of organ region
Grayson's ligament of left middle finger,Grayson's ligament of middle finger
Epithelium of crypt of Lieberkuhn of small intestine,Epithelium of gland of small intestine
Region of myocardium,Region of organ component
Lumen of trunk of segmental pulmonary artery,Lumen of arterial trunk
Lumen of trunk of left apical segmental artery,Lumen of trunk of apical segmental artery
Lumen of trunk of right apical segmental artery,Lumen of trunk of apical segmental artery
Right neurocentral junction of first lumbar vertebra,Neurocentral junction of first lumbar vertebra
Lumen of trunk of apical segmental artery,Lumen of trunk of segmental pulmonary artery
Lumen of trunk of apicoposterior segmental artery,Lumen of trunk of segmental pulmonary artery
