Child,Parent
Borgo Medievale,settlement
Tempio Grande at Vulci,temple-2
Consabura/Consabrum,settlement
Contestania (region),region
Contestania (region),label
Cueva de la Paloma,mine-2
Dianium/Hemeroskopeion,settlement
Ebura,settlement
Ebusus,settlement
Ebusus (island),island
Edeba,settlement
Edeta/Leiria,settlement
Edetania (region),region
Edetania (region),label
Elche de la Sierra,settlement
Elche de la Sierra,settlement-modern
Eliocroca?,settlement
Epora,settlement
Etobesa/Etouissa?,settlement
Roman Villa at El Faro (Torrox),villa
Ferrarium/Tenebrium (promontory),cape
Ficariensis Locus?,settlement
Fortuna,sanctuary
Fraxinum?,settlement
Fuente de Baños,villa
Fuente de la Pañuela,villa
Fuente de las Piedras,villa
Giribaile,settlement
Guium?,settlement
Hoyo de la Campana,mine-2
Iamo/Iamna,settlement
Iamo/Iamna,settlement-modern
(I)Aspis,settlement-modern
Igabrum/Egabrum,settlement
Ildum,settlement
Iliberri,settlement
Ilici/Helike,settlement
Ilici/Helike,archaeological-site
Ilicitanus Sinus,water-open
Iliturgi,settlement
Iliturgicola,settlement
Illikitanos Limen,settlement
Ilorci,settlement
Ilounon?,church-2
Ilounon?,acropolis
Ilounon?,city-wall
Ilounon?,plaza
Ilounon?,cistern
Ilounon?,townhouse
Ilounon?,city-gate
Ilounon?,settlement
Ilounon?,architecturalcomplex
Ilugo,settlement
Ilurco,settlement
Iniesta,settlement
Ipolcobulcola,settlement
Iponuba/Hippo Nova,settlement
*Ipsca,settlement
Torreparedones,settlement
Torreparedones,archaeological-site
Isturgi,settlement
Jumilla,settlement
El Laderón,settlement
Laminium,settlement
Letrania,villa
Libisosa,settlement
Linares,mine-2
Lobetanoi,people
Longuntica,settlement
Lucentum,settlement
Luque,quarry
Macael,quarry
Maenuba (river),river
Maenuba/Menova,settlement
Mago,settlement
Mago,settlement-modern
Mainake,settlement
Malaca,settlement
Malaca (river),canal
Malaca (river),river
Mariana,settlement
Marianus (mountain range),mountain
Marianus (mountain range),label
Marruca,settlement
Mentesa,settlement
Mentesa Bastia,settlement
Montoro-Andújar,mine-2
Monturque,settlement
Morana,settlement
Murgi,settlement
Murgi,amphitheatre
Obulco,settlement
Ocules,settlement
Olcades?,label
Olcades?,people
Onuba,settlement
*Opta,settlement
Oretana Iuga,mountain
Oretana Iuga,label
Oretania/Oretani,region
Oretania/Oretani,label
Oretania/Oretani,people
Oretum,settlement
Orospeda (mountain),mountain
Ossigi,settlement
Pago de Bruñel,villa
El Palacio,villa
Palma,settlement
Parietinae,station
Paulenca,villa
Pityussae (islands),archipelago
Planesia (island),island
Planesia (island),label
Plaza de Armas,settlement
Pollentia,settlement
Portos Magnos,settlement
Portus Sucronis,settlement
Portus Sucronis,port
Puente del Obispo,mine-2
Puente de la Olmilla,villa
Pujol de Benicató,villa
Río Golopón,mine-2
Rojales,settlement
Rubielos de Mora,settlement
El Ruedo,villa
Sacili,settlement
Saetabis,settlement
Saetabis,settlement-modern
Saetabis (river),river
Sagunto,villa
Saguntum/Arse,settlement
Salaria?,settlement
Salika?,settlement
Saltigi,settlement
Sanisera,settlement
Sanisera,port
S. Cristo,cemetery
S. Tomé,settlement
