SynsetID	SynsetWords	RelationType	TargetSynsetID
1	بيروني|خارجي|روکار|بروني	Antonym	2
1	بيروني|خارجي|روکار|بروني	Related-to	29920
1	بيروني|خارجي|روکار|بروني	Related-to	27736
1	بيروني|خارجي|روکار|بروني	Related-to	35438
2	داخلي|توکار	Antonym	1
2	داخلي|توکار	Related-to	2396
2	داخلي|توکار	Related-to	27736
3	خنک	Related-to	25910
3	خنک	Related-to	22083
3	خنک	Related-to	9710
3	خنک	Is-Attribute-of	11222
3	خنک	Related-to	8481
3	خنک	Related-to	22059
3	خنک	Antonym	27187
3	خنک	Related-to	20820
3	خنک	Related-to	50959
4	داغ|گداخته	Related-to	1308
4	داغ|گداخته	Is-Attribute-of	11222
4	داغ|گداخته	Related-to	9920
4	داغ|گداخته	Related-to	27187
4	داغ|گداخته	Related-to	17654
4	داغ|گداخته	Related-to	28477
4	داغ|گداخته	Related-to	33107
4	داغ|گداخته	Related-to	33602
4	داغ|گداخته	Related-to	34834
4	داغ|گداخته	Related-to	41736
4	داغ|گداخته	Related-to	42520
4	داغ|گداخته	Related-to	50957
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Antonym	61
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Antonym	17457
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Antonym	17783
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Related-to	22743
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Related-to	25637
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Related-to	11970
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Related-to	14123
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Antonym	598
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Related-to	525
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Related-to	46511
5	شفيق|صميمي|نزديک|همدل|جاني|يکدل|مقرب|اياق|جان‌جاني	Related-to	46763
6	سرد|بي‌احساس|بي‌تفاوت|يبس	Antonym	26945
7	دير|ديرهنگام|ديروقت|ديرگاه|ديرموقع	Antonym	2451
7	دير|ديرهنگام|ديروقت|ديرگاه|ديرموقع	Related-to	9
7	دير|ديرهنگام|ديروقت|ديرگاه|ديرموقع	Related-to	34306
8	زودرس|نارس|پيش‌رس	Antonym	9
8	زودرس|نارس|پيش‌رس	Related-to	969
8	زودرس|نارس|پيش‌رس	Related-to	27117
8	زودرس|نارس|پيش‌رس	Related-to	13173
8	زودرس|نارس|پيش‌رس	Related-to	36298
9	دير‌رس	Antonym	8
9	دير‌رس	Related-to	7
9	دير‌رس	Related-to	42918
11	برفي	Related-to	19171
11	برفي	Related-to	27684
11	برفي	Is-Attribute-of	12919
12	جوگندمي|فلفل‌نمکي	Is-Attribute-of	12919
12	جوگندمي|فلفل‌نمکي	Related-to	335
13	آبي|آبي‌رنگ	Related-to	15821
13	آبي|آبي‌رنگ	Related-to	286
13	آبي|آبي‌رنگ	Is-Attribute-of	12919
13	آبي|آبي‌رنگ	Related-to	1022
13	آبي|آبي‌رنگ	Related-to	423
13	آبي|آبي‌رنگ	Related-to	1004
13	آبي|آبي‌رنگ	Related-to	1043
13	آبي|آبي‌رنگ	Hyponym	36895
13	آبي|آبي‌رنگ	Related-to	44032
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	273
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	19284
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	22555
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	25351
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	25792
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Is-Attribute-of	12919
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	24663
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	24661
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	27685
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	27686
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	290
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	329
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	330
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	992
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	1005
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	1029
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	18011
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	33467
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	34266
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	36253
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	36395
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Hyponym	38110
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	40276
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	43418
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	43788
14	سرخ|قرمز|قرمزرنگ|سرخ‌رنگ|احمر|سرخ‌فام	Related-to	51591
15	خاکستري|طوسي|خاکستري‌رنگ|طوسي‌رنگ	Is-Attribute-of	12919
15	خاکستري|طوسي|خاکستري‌رنگ|طوسي‌رنگ	Related-to	49411
16	تابستاني|تابستانه	Antonym	17
16	تابستاني|تابستانه	Related-to	15740
16	تابستاني|تابستانه	Related-to	22329
16	تابستاني|تابستانه	Related-to	22788
16	تابستاني|تابستانه	Related-to	25988
16	تابستاني|تابستانه	Related-to	21192
16	تابستاني|تابستانه	Related-to	12804
16	تابستاني|تابستانه	Related-to	13173
16	تابستاني|تابستانه	Related-to	28963
17	زمستاني|زمستانه	Antonym	16
17	زمستاني|زمستانه	Related-to	19962
17	زمستاني|زمستانه	Related-to	26201
17	زمستاني|زمستانه	Related-to	15719
17	زمستاني|زمستانه	Related-to	17659
